<BEGIN>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<Equivalent units>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plant's ID;Plant's Name;Unit's ID;Minimum power output (MW);Maximum power output (MW);Ramp-up limit (MW/h);Ramp-down limit (MW/h);Minimum up-time (h);Minimum down-time (h);Transition ramp (MW/h);Bus;Constant cost ($);Start-up cost ($);Shut-down cost ($);Comments;Real units part of equivalent unit (units are separated by semicolons);;;;;;;;;;;;;;;;;;;
68;TRES LAGOAS;3;90;90;99999;99999;81;48;99999;4300;0;0;0;;4;6;;;;;;;;;;;;;;;;;;
68;TRES LAGOAS;4;90;90;99999;99999;81;48;99999;4301;0;0;0;;5;6;;;;;;;;;;;;;;;;;;
68;TRES LAGOAS;5;180;180;99999;99999;85;48;99999;4301;0;0;0;;1;2;3;;;;;;;;;;;;;;;;;
68;TRES LAGOAS;6;180;180;99999;99999;85;48;99999;4301;0;0;0;;4;5;6;;;;;;;;;;;;;;;;;
68;TRES LAGOAS;7;180;180;99999;99999;85;48;99999;4302;0;0;0;;1;3;4;6;;;;;;;;;;;;;;;;
68;TRES LAGOAS;8;180;180;99999;99999;85;48;99999;4302;0;0;0;;2;3;4;6;;;;;;;;;;;;;;;;
68;TRES LAGOAS;9;180;180;99999;99999;85;48;99999;4302;0;0;0;;1;3;5;6;;;;;;;;;;;;;;;;
68;TRES LAGOAS;10;180;180;99999;99999;85;48;99999;4302;0;0;0;;2;3;5;6;;;;;;;;;;;;;;;;
68;TRES LAGOAS;11;270;270;99999;99999;88;48;99999;4302;0;0;0;;1;2;3;4;6;;;;;;;;;;;;;;;
68;TRES LAGOAS;12;270;270;99999;99999;88;48;99999;4302;0;0;0;;1;2;3;5;6;;;;;;;;;;;;;;;
68;TRES LAGOAS;13;270;270;99999;99999;88;48;99999;4302;0;0;0;;1;3;4;5;6;;;;;;;;;;;;;;;
68;TRES LAGOAS;14;270;270;99999;99999;88;48;99999;4302;0;0;0;;2;3;4;5;6;;;;;;;;;;;;;;;
68;TRES LAGOAS;15;350;350;99999;99999;94;48;99999;4302;0;0;0;;1;2;3;4;5;6;;;;;;;;;;;;;;
83;VALE DO ACU;1;110;155;99999;99999;26;48;99999;5466;0;0;0;;1;2;;;;;;;;;;;;;;;;;;
83;VALE DO ACU;2;310;310;99999;99999;26;48;99999;5466;0;0;0;;1;2;;;;;;;;;;;;;;;;;;
90;TERMOMACAE;1;35;45;100;100;5;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;2;70;90;100;100;5;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;3;105;135;100;100;5;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;4;140;180;100;100;5;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;5;175;225;100;100;5;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
90;TERMOMACAE;6;210;270;100;100;6;6;99999;3977;0;0;0;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
