<BEGIN>;;;;;;;;;;;;;;
<Hydro reservoirs>;;;;;;;;;;;;;;
ID;Name;Minimum reservoir volume (hm3);Maximum reservoir volume (hm3);Name of downriver reservoir;Water travelling time (h);Run-of-river plant? TRUE or FALSE;Minimum forebay level (m);Maximum forebay level (m);Maximum spillage (m3/s);Basin;Influence of spillage on the HPF? Yes or No;Downriver plant of bypass discharge;Maximum bypass discharge (m3/s);Water travel time in bypass (h)
49;CHAVANTES;5754;8795;OURINHOS;2;FALSE;465.23;474;3450;Paraná;Yes;0;0;0
63;ROSANA;1701.54;1912.26;ITAIPU;48;TRUE;258;258;19880;Paraná;Yes;0;0;0
62;TAQUARUCU;506.01;676.83;ROSANA;3;TRUE;284;284;18108;Paraná;Yes;0;0;0
61;CAPIVARA;4816;10540;TAQUARUCU;3;FALSE;321;334;17248;Paraná;Yes;0;0;0
183;FONTES;467;467;PEREIRA PASSOS;0;TRUE;415;415;5000;Paraíba do Sul;No;0;0;0
131;NILO PEÇANHA;38;38;PEREIRA PASSOS;0;TRUE;399;399;5000;Paraíba do Sul;No;0;0;0
133;PEREIRA PASSOS;13;17;0;0;TRUE;86.5;86.5;5000;Paraíba do Sul;Yes;0;0;0
123;FUNIL;283;888;SANTA CECÍLIA;24;TRUE;444;466.5;415;Paraíba do Sul;Yes;0;0;0
124;LAJES;0.01;445.35;FONTES;0;TRUE;386.5;415;5000;Paraíba do Sul;No;FONTES BC;7000;0
121;PARAIBUNA;2096;4732; SANTA BRANCA;8;TRUE;694.6;714;781;Paraíba do Sul;No;0;0;0
122;SANTA BRANCA;131;439;FUNIL;84;TRUE;605;622;600;Paraíba do Sul;No;0;0;0
120;JAGUARI;443;1236;0;0;TRUE;603.2;623;415;Paraíba do Sul;No;0;0;0
125;SANTA CECÍLIA;4;6;ILHA DOS POMBOS;0;TRUE;352.95;352.95;5000;Paraíba do Sul;No;0;0;0
181;SANTANA;4;12;VIGARIO;0;TRUE;363;363;5000;Paraíba do Sul;No;0;0;0
182;VIGARIO;37;38;NILO PEÇANHA;0;TRUE;399;399;5000;Paraíba do Sul;No;FONTES;70000;0
126;PICADA;6;7;SOBRAGI;5;TRUE;658.76;659.22;500;Paraíba do Sul;Yes;0;0;0
127;SOBRAGI;0.063;0.087;ILHA DOS POMBOS;0;TRUE;436.5;436.5;5000;Paraíba do Sul;No;0;0;0
129;SIMPLÍCIO;126.5;126.5;ILHA DOS POMBOS;8;TRUE;251.5;251.5;1000;Paraíba do Sul;Yes;0;0;0
130;ILHA DOS POMBOS;3;8;0;0;TRUE;135.6;135.6;8580;Paraíba do Sul;No;0;0;0
29;CORUMBÁ IV;2936.6;3708;CORUMBÁ III;1;TRUE;837;842.6;500;Paraná;Yes;0;0;0
203;CORUMBÁ III;709;972;CORUMBÁ I;16;TRUE;768;772;500;Paraná;Yes;0;0;0
30;CORUMBÁ I;470;1500;ITUMBIARA;6;FALSE;570;595;1000;Paraná;Yes;0;0;0
20;BATALHA;430.05;1781.61;SERRA DO FACÃO;8;FALSE;785;800;500;Paraná;Yes;0;0;0
21;SERRA DO FACÃO;1752;5199;EMBORCACAO;11;FALSE;732.5;756;2701.4;Paraná;Yes;0;0;0
25;NOVA PONTE;2412;12792;MIRANDA;6;FALSE;775.5;815;2500;Paraná;Yes;0;0;0
26;MIRANDA;974.4;1120;AMADOR AGUIAR I;5;TRUE;693;696;3000;Paraná;No;0;0;0
27;AMADOR AGUIAR I;228.27;241.13;AMADOR AGUIAR II;4;TRUE;623.3;624;4000;Paraná;No;0;0;0
28;AMADOR AGUIAR II;859.63;872.83;ITUMBIARA;4;TRUE;564.99;565;4000;Paraná;Yes;0;0;0
290;ESPORA;98.65;216.5;I. SOLTEIRA;18;TRUE;576.5;583.5;500;Paraná;Yes;0;0;0
262;SALTO;826.06;1187.4;SALTO DO RIO VERDINHO;0;TRUE;446.5;446.5;1925;Paraná;Yes;0;0;0
241;SALTO DO RIO VERDINHO;352.5;394.3;I. SOLTEIRA;9;TRUE;370.5;370.5;500;Paraná;Yes;0;0;0
311;CAÇU;197.27;231.77;BARRA DOS COQUEIROS;3;TRUE;475;477;1200;Paraná;Yes;0;0;0
312;BARRA DOS COQUEIROS;302;349.84;FOZ DO RIO CLARO;8;TRUE;446;448;1300;Paraná;Yes;0;0;0
315;FOZ DO RIO CLARO;95.33;95.33;I. SOLTEIRA;10;TRUE;354;354;1500;Paraná;Yes;0;0;0
1;CAMARGOS;120;792;ITUTINGA;0;TRUE;899;913;2242;Paraná;No;0;0;0
2;ITUTINGA;4.17;11.21;FUNIL - GRANDE;12;TRUE;886;886;2230;Paraná;No;0;0;0
4;FUNIL - GRANDE;262.12;268.93;FURNAS;23;TRUE;808;808;4000;Paraná;Yes;0;0;0
7;MASCARENHAS DE MORAES;1540;4040;LC BARRETO;2;FALSE;653.12;666.12;4000;Paraná;Yes;0;0;0
9;JAGUARA;360;450;IGARAPAVA;5;TRUE;558.5;558.5;4500;Paraná;No;0;0;0
10;IGARAPAVA;227.23;241.84;VOLTA GRANDE;2;TRUE;512;512;5000;Paraná;Yes;0;0;0
11;VOLTA GRANDE;1976;2244;PORTO COLÔMBIA;6;TRUE;494.87;494.87;5000;Paraná;No;0;0;0
12;PORTO COLÔMBIA;1291;1524.5;MARIMBONDO;6;TRUE;467.2;467.2;5000;Paraná;Yes;0;0;0
14;CACONDE;50.78;554.87;E. DA CUNHA;12;TRUE;825;855;1778;Paraná;Yes;0;0;0
15;E. DA CUNHA;8.65;13.34;A. S. OLIVEIRA;3;TRUE;665;665;1959;Paraná;Yes;0;0;0
