<BEGIN>;;;;;;;;;;;;
<Hydro turbines>;;;;;;;;;;;;
Name;Hydro reservoir ID;Hydro reservoir name;Group ID;Group name;Unit ID;Bus ID;Minimum generation (MW);Maximum generation (MW);Minimum turbine discharge (m3/s);Maximum turbine discharge (m3/s);Turbine type;Comments
G30-STO ANTONIO;287;STO ANTONIO;2;4 blades;30;7064;21;73;239.2;598;Bulbo;The group has been changed after network reduction
G31-STO ANTONIO;287;STO ANTONIO;1;5 blades;31;7064;11;69;227.2;568;Bulbo;The group has been changed after network reduction
G32-STO ANTONIO;287;STO ANTONIO;1;5 blades;32;7064;11;69;227.2;568;Bulbo;The group has been changed after network reduction
G33-STO ANTONIO;287;STO ANTONIO;1;5 blades;33;7064;11;69;227.2;568;Bulbo;The group has been changed after network reduction
G34-STO ANTONIO;287;STO ANTONIO;1;5 blades;34;7064;11;69;227.2;568;Bulbo;The group has been changed after network reduction
G35-STO ANTONIO;287;STO ANTONIO;1;5 blades;35;7064;11;69;227.2;568;Bulbo;The group has been changed after network reduction
G36-STO ANTONIO;287;STO ANTONIO;1;5 blades;36;7064;11;69;227.2;568;Bulbo;The group has been changed after network reduction
G37-STO ANTONIO;287;STO ANTONIO;2;4 blades;37;7064;21;73;239.2;598;Bulbo;The group has been changed after network reduction
G38-STO ANTONIO;287;STO ANTONIO;2;4 blades;38;7064;21;73;239.2;598;Bulbo;The group has been changed after network reduction
G39-STO ANTONIO;287;STO ANTONIO;2;4 blades;39;7064;21;73;239.2;598;Bulbo;The group has been changed after network reduction
G40-STO ANTONIO;287;STO ANTONIO;2;4 blades;40;7064;21;73;239.2;598;Bulbo;The group has been changed after network reduction
G41-STO ANTONIO;287;STO ANTONIO;2;4 blades;41;7064;21;73;239.2;598;Bulbo;The group has been changed after network reduction
G42-STO ANTONIO;287;STO ANTONIO;2;4 blades;42;7064;21;73;239.2;598;Bulbo;The group has been changed after network reduction
G43-STO ANTONIO;287;STO ANTONIO;2;4 blades;43;7064;21;73;239.2;598;Bulbo;The group has been changed after network reduction
G44-STO ANTONIO;287;STO ANTONIO;2;4 blades;44;7064;21;73;239.2;598;Bulbo;The group has been changed after network reduction
G45-STO ANTONIO230;287;STO ANTONIO;1;5 blades;45;6888;11;69;227.2;568;Bulbo;The group has been changed after network reduction
G46-STO ANTONIO230;287;STO ANTONIO;1;5 blades;46;6888;11;69;227.2;568;Bulbo;The group has been changed after network reduction
G47-STO ANTONIO230;287;STO ANTONIO;1;5 blades;47;6888;11;69;227.2;568;Bulbo;The group has been changed after network reduction
G48-STO ANTONIO230;287;STO ANTONIO;1;5 blades;48;6892;11;69;227.2;568;Bulbo;The group has been changed after network reduction
G49-STO ANTONIO230;287;STO ANTONIO;1;5 blades;49;6892;11;69;227.2;568;Bulbo;The group has been changed after network reduction
G50-STO ANTONIO230;287;STO ANTONIO;1;5 blades;50;6892;11;69;227.2;568;Bulbo;The group has been changed after network reduction
G1-JIRAU;285;JIRAU;1;MD;1;7051;23;75;230;538;Bulbo;
G2-JIRAU;285;JIRAU;1;MD;2;7051;23;75;230;538;Bulbo;
G3-JIRAU;285;JIRAU;1;MD;3;7051;23;75;230;538;Bulbo;
