& CONDICOES INICIAIS DAS UNIDADES  
&
&Flags Ativos
UCTPAR 2
UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0              
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X 
163  P. PECEM II    1    1       365.00   1992  0  0
164  MURICY         1    0         0.00    465  0  0
164  MURICY         2    0         0.00  16272  0  0
164  MURICY         3    0         0.00    610  1  0
164  MURICY         4    0         0.00    682  1  0
164  MURICY         5    0         0.00    120  0  0
164  MURICY         6    1       108.00    105  0  0
164  MURICY         7    0         0.00  14036  0  0
164  MURICY         8    0         0.00  16272  0  0
166  CAMACARI PI    1    0         0.00    513  0  0
166  CAMACARI PI    2    0         0.00    295  0  0
166  CAMACARI PI    3    0         0.00    100  0  0
166  CAMACARI PI    4    1       125.00    100  0  0
167  P. PECEM I     1    1       360.14   1824  0  0
167  P. PECEM I     2    1       359.86   1103  0  0
169  CISFRAMA       1    1         3.00   3672  0  0
170  SUAPE II       1    0         0.00    760  1  0
170  SUAPE II       2    0         0.00   3217  1  0
170  SUAPE II       3    0         0.00   1655  0  0
170  SUAPE II       4    0         0.00    775  0  0
170  SUAPE II       5    0         0.00    536  0  0
170  SUAPE II       6    0         0.00    494  0  0
170  SUAPE II       7    0         0.00    127  0  0
170  SUAPE II       8    0         0.00   5088  1  0
170  SUAPE II       9    0         0.00   1079  1  0
170  SUAPE II      10    0         0.00   1056  1  0
170  SUAPE II      11    0         0.00   5039  1  0
170  SUAPE II      12    0         0.00    593  0  0
170  SUAPE II      13    0         0.00    103  0  0
170  SUAPE II      14    0         0.00    136  1  0
170  SUAPE II      15    0         0.00     17  0  0
170  SUAPE II      16    1      358.832     17  0  0
170  SUAPE II      17    0         0.00  16604  0  0
176  PORTO ITAQUI   1    1       360.00    228  0  0
182  PALMEIRAS GO   1    0         0.00   6198  1  0
182  PALMEIRAS GO   2    0         0.00   6246  0  0
194  T.NORTE 2      1    0         0.00  16272  0  0
194  T.NORTE 2      2    0         0.00  16272  0  0
194  T.NORTE 2      3    0         0.00   6678  1  0
194  T.NORTE 2      4    0         0.00   6678  0  0
201  APARECIDA      1    1        43.00   1155  0  0
201  APARECIDA      2    1        43.00    559  1  0
201  APARECIDA      3    1        25.00    271  0  0
201  APARECIDA      4    1        35.00    110  0  0
203  C. ROCHA       1    0         0.00    399  1  0
203  C. ROCHA       2    1        17.08    360  0  0
203  C. ROCHA       3    1        17.08    360  0  0
203  C. ROCHA       4    1        17.08    360  0  0
203  C. ROCHA       5    1        17.08    295  0  0
204  JARAQUI        6    1        36.08   1111  0  0
204  JARAQUI        7    1        26.92   1111  0  0
205  MANAUARA       1    1        16.70   1686  0  0
205  MANAUARA       2    1        16.70   1008  0  0
205  MANAUARA       3    1        16.70   1686  0  0
205  MANAUARA       4    1        14.90     46  0  0
207  PONTA NEGRA    1    1        16.00  16210  0  0
207  PONTA NEGRA    2    1        16.00  16210  0  0
207  PONTA NEGRA    3    1        16.00  16210  0  0
207  PONTA NEGRA    4    1        16.00  16210  0  0
209  TAMBAQUI       5    0         0.00   1270  0  0
209  TAMBAQUI       6    1        26.92   1277  0  0
209  TAMBAQUI       7    1        36.08   1277  0  0
211  BAIXADA FLU    1    0         0.00   2012  1  0
211  BAIXADA FLU    2    0         0.00   7296  0  0
211  BAIXADA FLU    3    1       530.00   2012  1  0
212  MARANHAO III   1    1       518.80    657  0  0
221  SYKUE I        1    0         0.00   5830  1  0
224  P. SERGIPE I   1    0         0.00  10536  0  0
224  P. SERGIPE I   2    0         0.00  10767  0  0
224  P. SERGIPE I   3    0         0.00  12240  0  0
224  P. SERGIPE I   4    0         0.00  10790  1  0
224  P. SERGIPE I   5    0         0.00  12240  0  0
224  P. SERGIPE I   6    0         0.00  11016  1  0
224  P. SERGIPE I   7    0         0.00  10980  0  0
229  ONCA PINTADA   1    1        50.00    768  0  0
230  PREDILECTA     1    1         5.00    384  0  0
334  W ARJONA       1    1        39.16    301  0  0
334  W ARJONA       2    1        39.16    168  0  0
334  W ARJONA       3    0         0.00    816  0  0
334  W ARJONA       4    1        33.10    312  0  0
334  W ARJONA       5    1        32.58    192  0  0
383  ATLANTICO      1    0         0.00   9959  0  0
383  ATLANTICO      2    0         0.00  10032  0  0
383  ATLANTICO      3    0         0.00    360  0  0
383  ATLANTICO      4    0         0.00   1681  1  0
383  ATLANTICO      5    0         0.00    336  0  0
383  ATLANTICO      6    0         0.00   8352  1  0
383  ATLANTICO      7    1       390.00    336  0  0
FIM
&
&
& LIMITES E CONDICOES OPERACIONAIS DAS UNIDADES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
&
OPER                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
&us    nome      un di hi m df hf m Gmin     Gmax       Custo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
&XX XXXXXXXXXXXX XX XX XX X XX XX X XXXXXXXXXXxxxxxxxxxxXXXXXXXXXX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
  1 ANGRA 1       1  7  0 0 F                                31.17
 13 ANGRA 2       1  7  0 0 F                                20.12
211 BAIXADA FL    1  7  0 0 F                               255.86
211 BAIXADA FL    2  7  0 0 F                               255.86
211 BAIXADA FL    3  7  0 0 F                               255.86
 97 CUBATAO       1  7  0 0 F                               353.47
 97 CUBATAO       2  7  0 0 F                               353.47
 97 CUBATAO       3  7  0 0 F                               353.47
 12 CUIABA CC     1  7  0 0 F                               701.88
 12 CUIABA CC     2  7  0 0 F                               701.88
 12 CUIABA CC     3  7  0 0 F                               701.88
153 DAIA          1  7  0 0 F                              1019.93
153 DAIA          2  7  0 0 F                              1019.93
153 DAIA          3  7  0 0 F                              1019.93
155 GOIANIA 2     1  7  0 0 F                              1066.64
155 GOIANIA 2     2  7  0 0 F                              1066.64
 63 IBIRITE       1  7  0 0 F                               781.76
 54 JUIZ DE FO    1  7  0 0 F                               283.74
 54 JUIZ DE FO    2  7  0 0 F                               283.74
 15 LUIZORMELO    1  7  0 0 F                               399.11
 15 LUIZORMELO    2  7  0 0 F                               399.11
 15 LUIZORMELO    3  7  0 0 F                               399.11
 15 LUIZORMELO    4  7  0 0 F                               399.11
110 NPIRATINGA    1  7  0 0 F                               548.04
110 NPIRATINGA    2  7  0 0 F                               548.04
110 NPIRATINGA    3  7  0 0 F                               548.04
110 NPIRATINGA    4  7  0 0 F                               548.04
110 NPIRATINGA    5  7  0 0 F                               548.04
110 NPIRATINGA    6  7  0 0 F                               548.04
110 NPIRATINGA    7  7  0 0 F                               548.04
110 NPIRATINGA    8  7  0 0 F                               548.04
110 NPIRATINGA    9  7  0 0 F                               548.04
110 NPIRATINGA   10  7  0 0 F                               548.04
110 NPIRATINGA   11  7  0 0 F                               548.04
110 NPIRATINGA   12  7  0 0 F                               548.04
110 NPIRATINGA   13  7  0 0 F                               548.04
110 NPIRATINGA   14  7  0 0 F                               548.04
110 NPIRATINGA   15  7  0 0 F                               548.04
229 O.PINTADA     1  7  0 0 F                               112.47
182 PALMEIR_GO    1  7  0 0 F                               763.38
182 PALMEIR_GO    2  7  0 0 F                               763.38
 50 PIRAT.12 O    1  7  0 0 F                               470.34
 50 PIRAT.12 O    2  7  0 0 F                               470.34
230 PREDILECTA    1  7  0 0 F                               158.95
  9 CAMPOS        1  7  0 0 F                               978.10
  9 CAMPOS        2  7  0 0 F                               978.10
