DEFANT    66    1  S    08 10 1  F                4339
DEFANT    66    1  S    08 11 0  F                4422
DEFANT    66    1  S    08 11 1  F                4422
DEFANT    66    1  S    08 12 0  F                4438
DEFANT    66    1  S    08 12 1  F                4438
DEFANT    66    1  S    08 13 0  F                4359
DEFANT    66    1  S    08 13 1  F                4359
DEFANT    66    1  S    08 14 0  F                4316
DEFANT    66    1  S    08 14 1  F                4316
DEFANT    66    1  S    08 15 0  F                4316
DEFANT    66    1  S    08 15 1  F                4465
DEFANT    66    1  S    08 16 0  F                4709
DEFANT    66    1  S    08 16 1  F                4807
DEFANT    66    1  S    08 17 0  F                5156
DEFANT    66    1  S    08 17 1  F                5517
DEFANT    66    1  S    08 18 0  F                6397
DEFANT    66    1  S    08 18 1  F                6651
DEFANT    66    1  S    08 19 0  F                6559
DEFANT    66    1  S    08 19 1  F                6178
DEFANT    66    1  S    08 20 0  F                6103
DEFANT    66    1  S    08 20 1  F                5987
DEFANT    66    1  S    08 21 0  F                5979
DEFANT    66    1  S    08 21 1  F                5863
DEFANT    66    1  S    08 22 0  F                5125
DEFANT    66    1  S    08 22 1  F                5124
DEFANT    66    1  S    08 23 0  F                5014
DEFANT    66    1  S    08 23 1  F                5013
DEFANT    83    1  S    08  0 0  F                 457
DEFANT    83    1  S    08  0 1  F                 457
DEFANT    83    1  S    08  1 0  F                 457
DEFANT    83    1  S    08  1 1  F                 457
DEFANT    83    1  S    08  2 0  F                 457
DEFANT    83    1  S    08  2 1  F                 458
DEFANT    83    1  S    08  3 0  F                 458
DEFANT    83    1  S    08  3 1  F                 459
DEFANT    83    1  S    08  4 0  F                 459
DEFANT    83    1  S    08  4 1  F                 460
DEFANT    83    1  S    08  5 0  F                 460
DEFANT    83    1  S    08  5 1  F                1057
DEFANT    83    1  S    08  6 0  F                1061
DEFANT    83    1  S    08  6 1  F                1065
DEFANT    83    1  S    08  7 0  F                1069
DEFANT    83    1  S    08  7 1  F                1074
DEFANT    83    1  S    08  8 0  F                1078
DEFANT    83    1  S    08  8 1  F                1082
DEFANT    83    1  S    08  9 0  F                1087
DEFANT    83    1  S    08  9 1  F                1090
DEFANT    83    1  S    08 10 0  F                1093
DEFANT    83    1  S    08 10 1  F                1093
DEFANT    83    1  S    08 11 0  F                1093
DEFANT    83    1  S    08 11 1  F                1091
DEFANT    83    1  S    08 12 0  F                1087
DEFANT    83    1  S    08 12 1  F                1080
DEFANT    83    1  S    08 13 0  F                1074
DEFANT    83    1  S    08 13 1  F                1068
DEFANT    83    1  S    08 14 0  F                1064
DEFANT    83    1  S    08 14 1  F                1063
DEFANT    83    1  S    08 15 0  F                1821
DEFANT    83    1  S    08 15 1  F                1822
DEFANT    83    1  S    08 16 0  F                2479
DEFANT    83    1  S    08 16 1  F                2481
DEFANT    83    1  S    08 17 0  F                2484
DEFANT    83    1  S    08 17 1  F                2486
DEFANT    83    1  S    08 18 0  F                2488
DEFANT    83    1  S    08 18 1  F                2490
DEFANT    83    1  S    08 19 0  F                2497
DEFANT    83    1  S    08 19 1  F                2506
DEFANT    83    1  S    08 20 0  F                1841
DEFANT    83    1  S    08 20 1  F                1837
DEFANT    83    1  S    08 21 0  F                 962
DEFANT    83    1  S    08 21 1  F                 958
DEFANT    83    1  S    08 22 0  F                 463
DEFANT    83    1  S    08 22 1  F                 462
DEFANT    83    1  S    08 23 0  F                 461
DEFANT    83    1  S    08 23 1  F                 461
