DEFANT   204  280  H    30 00 0  F                1595
DEFANT   228  229  H    26 00 0  F                 534
DEFANT   228  229  H    27 00 0  F                 548
DEFANT   228  229  H    28 00 0  F                 688
DEFANT   228  229  H    29 00 0  F                 638
DEFANT   228  229  H    30 00 0  F                 624
DEFANT   229  230  H    30 00 0  F                 786
DEFANT   241   34  H    30 00 0  F                  98
DEFANT   249   50  H    30 00 0  F                 115
DEFANT   251  252  H    30 00 0  F                 300
DEFANT   252  253  H    30 00 0  F                 351
DEFANT   253  257  H    30 00 0  F                 395
DEFANT   257  261  H    29 00 0  F                 563
DEFANT   257  261  H    30 00 0  F                 561
DEFANT   261  267  H    28 00 0  F                 738
DEFANT   261  267  H    29 00 0  F                 730
DEFANT   261  267  H    30 00 0  F                 701
DEFANT   262  241  H    30 00 0  F                 100
DEFANT   267  275  H    28 00 0  F                1475
DEFANT   267  275  H    29 00 0  F                1428
DEFANT   267  275  H    30 00 0  F                1427
DEFANT   280  284  H    30 00 0  F                1551
DEFANT   285  287  H    30 00 0  F                8612
DEFANT   290   34  H    30 00 0  F                  48
DEFANT   311  312  H    30 00 0  F                 100
DEFANT   312  315  H    30 00 0  F                  88
DEFANT   315   34  H    30 00 0  F                 105
DEFANT    66    1  S    30  0 0  F                5868
DEFANT    66    1  S    30  0 1  F                5544
DEFANT    66    1  S    30  1 0  F                5460
DEFANT    66    1  S    30  1 1  F                5457
DEFANT    66    1  S    30  2 0  F                5237
DEFANT    66    1  S    30  2 1  F                5234
DEFANT    66    1  S    30  3 0  F                5382
DEFANT    66    1  S    30  3 1  F                5380
DEFANT    66    1  S    30  4 0  F                5379
DEFANT    66    1  S    30  4 1  F                5521
DEFANT    66    1  S    30  5 0  F                5201
DEFANT    66    1  S    30  5 1  F                5446
DEFANT    66    1  S    30  6 0  F                6033
DEFANT    66    1  S    30  6 1  F                6470
DEFANT    66    1  S    30  7 0  F                6550
DEFANT    66    1  S    30  7 1  F                6730
DEFANT    66    1  S    30  8 0  F                7168
DEFANT    66    1  S    30  8 1  F                7066
DEFANT    66    1  S    30  9 0  F                6834
DEFANT    66    1  S    30  9 1  F                6876
DEFANT    66    1  S    30 10 0  F                7143
DEFANT    66    1  S    30 10 1  F                7245
DEFANT    66    1  S    30 11 0  F                7374
DEFANT    66    1  S    30 11 1  F                7377
DEFANT    66    1  S    30 12 0  F                7025
DEFANT    66    1  S    30 12 1  F                6746
DEFANT    66    1  S    30 13 0  F                6715
DEFANT    66    1  S    30 13 1  F                7257
DEFANT    66    1  S    30 14 0  F                7264
DEFANT    66    1  S    30 14 1  F                7266
DEFANT    66    1  S    30 15 0  F                7267
DEFANT    66    1  S    30 15 1  F                7742
DEFANT    66    1  S    30 16 0  F                8254
DEFANT    66    1  S    30 16 1  F                8611
DEFANT    66    1  S    30 17 0  F                8729
DEFANT    66    1  S    30 17 1  F                8938
DEFANT    66    1  S    30 18 0  F                9136
DEFANT    66    1  S    30 18 1  F                9144
DEFANT    66    1  S    30 19 0  F                8898
DEFANT    66    1  S    30 19 1  F                8638
DEFANT    66    1  S    30 20 0  F                8092
DEFANT    66    1  S    30 20 1  F                7533
DEFANT    66    1  S    30 21 0  F                7355
DEFANT    66    1  S    30 21 1  F                7106
DEFANT    66    1  S    30 22 0  F                6265
DEFANT    66    1  S    30 22 1  F                6301
DEFANT    66    1  S    30 23 0  F                5924
DEFANT    66    1  S    30 23 1  F                5920
DEFANT    83    1  S    30  0 0  F                2028
DEFANT    83    1  S    30  0 1  F                2028
DEFANT    83    1  S    30  1 0  F                2028
DEFANT    83    1  S    30  1 1  F                2028
DEFANT    83    1  S    30  2 0  F                2028
DEFANT    83    1  S    30  2 1  F                2028
DEFANT    83    1  S    30  3 0  F                2028
DEFANT    83    1  S    30  3 1  F                2028
DEFANT    83    1  S    30  4 0  F                2028
DEFANT    83    1  S    30  4 1  F                2028
DEFANT    83    1  S    30  5 0  F                2028
DEFANT    83    1  S    30  5 1  F                2028
DEFANT    83    1  S    30  6 0  F                2028
DEFANT    83    1  S    30  6 1  F                2028
DEFANT    83    1  S    30  7 0  F                2028
DEFANT    83    1  S    30  7 1  F                2028
DEFANT    83    1  S    30  8 0  F                2028
DEFANT    83    1  S    30  8 1  F                2028
DEFANT    83    1  S    30  9 0  F                2028
DEFANT    83    1  S    30  9 1  F                2028
DEFANT    83    1  S    30 10 0  F                2028
DEFANT    83    1  S    30 10 1  F                2028
DEFANT    83    1  S    30 11 0  F                2028
DEFANT    83    1  S    30 11 1  F                2028
DEFANT    83    1  S    30 12 0  F                2028
DEFANT    83    1  S    30 12 1  F                2028
DEFANT    83    1  S    30 13 0  F                2028
DEFANT    83    1  S    30 13 1  F                2028
DEFANT    83    1  S    30 14 0  F                2028
DEFANT    83    1  S    30 14 1  F                2298
DEFANT    83    1  S    30 15 0  F                2298
DEFANT    83    1  S    30 15 1  F                2298
DEFANT    83    1  S    30 16 0  F                2298
DEFANT    83    1  S    30 16 1  F                2298
DEFANT    83    1  S    30 17 0  F                2298
DEFANT    83    1  S    30 17 1  F                2298
DEFANT    83    1  S    30 18 0  F                2298
DEFANT    83    1  S    30 18 1  F                2298
DEFANT    83    1  S    30 19 0  F                2298
DEFANT    83    1  S    30 19 1  F                2298
DEFANT    83    1  S    30 20 0  F                2298
DEFANT    83    1  S    30 20 1  F                2298
DEFANT    83    1  S    30 21 0  F                2298
DEFANT    83    1  S    30 21 1  F                2298
DEFANT    83    1  S    30 22 0  F                2298
DEFANT    83    1  S    30 22 1  F                2298
DEFANT    83    1  S    30 23 0  F                2298
DEFANT    83    1  S    30 23 1  F                2298
