& CONDICOES INICIAIS DAS UNIDADES                
&
&Flags Ativos
UCTPAR 2
&UCTERM 2
PINT
REGRANPTV     1
AVLCMO 1
&
&Flags Inativos
&UCTBUSLOC
&UCTHEURFP   1 100
&CONSTDADOS 0
&AJUSTEFCF
&TOLERILH 1
&CROSSOVER 1
&ENGOLIMENTO 0
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X 
 70  GERAMAR II     3    1        43.60    106  0  0
 70  GERAMAR II     4    1        36.90    106  0  0
 73  GERAMAR I      1    1        43.60    106  0  0
 73  GERAMAR I      2    1        43.65    106  1  0
 73  GERAMAR I      3    1        36.85    106  1  0
 73  GERAMAR I      4    1        34.90    106  0  0
 83  VALE DO ACU    1    1       110.00    984  0  0
 83  VALE DO ACU    2    0         0.00   9917  0  0
 86  ST.CRUZ NOVA  11    0         0.00    671  0  0
 86  ST.CRUZ NOVA  21    1       175.00    648  0  0
 90  TERMOMACAE     1    0         0.00    950  0  0
 90  TERMOMACAE     2    0         0.00  16104  0  0
 90  TERMOMACAE     3    0         0.00   6487  1  0
 90  TERMOMACAE     4    0         0.00   6109  0  0
 90  TERMOMACAE     5    0         0.00  16104  0  0
 90  TERMOMACAE     6    0         0.00   5135  0  0
 90  TERMOMACAE     7    0         0.00  16104  0  0
 90  TERMOMACAE     8    0         0.00  16104  0  0
 90  TERMOMACAE     9    0         0.00   1128  1  0
 90  TERMOMACAE    10    0         0.00  16104  0  0
 90  TERMOMACAE    11    0         0.00   6359  0  0
 90  TERMOMACAE    12    0         0.00   6365  1  0
 90  TERMOMACAE    13    0         0.00   5991  1  0
 90  TERMOMACAE    14    0         0.00   6064  0  0
 90  TERMOMACAE    15    0         0.00     72  0  0
 90  TERMOMACAE    16    0         0.00    144  0  0
 90  TERMOMACAE    17    0         0.00    164  0  0
 90  TERMOMACAE    18    0         0.00    672  0  0
 90  TERMOMACAE    19    1       855.00     72  0  0
 90  TERMOMACAE    20    0         0.00   5856  0  0
 96  TERMOPE        1    0         0.00  11363  0  0
 96  TERMOPE        2    0         0.00   8245  0  0
 96  TERMOPE        3    1       533.00   2071  1  0
 97  CUBATAO        1    1       208.00   1186  0  0
 97  CUBATAO        2    0         0.00   4781  1  0
 97  CUBATAO        3    0         0.00   1186  0  0
 98  PERNAMBU_III   1    0         0.00  12385  0  0
 98  PERNAMBU_III   2    0         0.00  13750  0  0
 98  PERNAMBU_III   3    0         0.00  12384  1  0
 98  PERNAMBU_III   4    0         0.00   5855  1  0
106  ERB CANDEIAS   1    1        11.00    361  0  0
107  PAMPA SUL      1    0         0.00  12224  0  0
108  XAVANTES       1    1        25.49    111  0  0
108  XAVANTES       2    1        27.51    111  0  0
109  ALTOS          1    0         0.00  16436  0  0
110  N.PIRATININ    1    0         0.00    336  0  0
110  N.PIRATININ    2    0         0.00    216  1  0
110  N.PIRATININ    3    0         0.00    624  0  0
110  N.PIRATININ    4    0         0.00    661  0  0
110  N.PIRATININ    5    0         0.00  18615  0  0
110  N.PIRATININ    6    0         0.00  15611  0  0
110  N.PIRATININ    7    0         0.00  15834  0  0
110  N.PIRATININ    8    0         0.00  19152  0  0
110  N.PIRATININ    9    1       280.00    216  0  0
110  N.PIRATININ   10    0         0.00  19152  0  0
110  N.PIRATININ   11    0         0.00  18615  0  0
110  N.PIRATININ   12    0         0.00  18615  0  0
110  N.PIRATININ   13    0         0.00  19152  0  0
110  N.PIRATININ   14    0         0.00  19152  0  0
110  N.PIRATININ   15    0         0.00  19152  0  0
111  ARACATI        1    0         0.00  16436  0  0
112  BAHIA I        1    0         0.00   6145  0  0
112  BAHIA I        2    0         0.00    297  0  0
112  BAHIA I        3    1        26.00    107  0  0
113  BATURITE       1    0         0.00  16436  0  0
116  PARNAIBA IV    1    1        56.00    402  0  0
117  CAMPO MAIOR    1    0         0.00  16436  0  0
119  CAUCAIA        1    0         0.00  16436  0  0
121  CRATO          1    0         0.00  16436  0  0
125  ENGUIA PECEM   1    0         0.00  16436  0  0
127  IGUATU         1    0         0.00  16436  0  0
133  JUAZEIRO N     1    0         0.00  16436  0  0
135  MARAMBAIA      1    0         0.00  16436  0  0
138  NAZARIA        1    0         0.00  16436  0  0
140  MAUA 3         1    1       566.00    262  1  0
140  MAUA 3         2    0         0.00    262  1  0
140  MAUA 3         3    0         0.00    311  1  0
144  PETROLINA      1    0         0.00    128  1  0
144  PETROLINA      2    0         0.00  16104  0  0
144  PETROLINA      3    0         0.00  16104  0  0
144  PETROLINA      4    0         0.00  16104  0  0
144  PETROLINA      5    0         0.00  16104  0  0
144  PETROLINA      6    0         0.00    361  1  0
144  PETROLINA      7    0         0.00    255  1  0
144  PETROLINA      8    1       132.00    104  1  0
146  STA VITORIA    1    1        41.00   2328  0  0
147  PROSPERIDADE   1    1         9.34    110  0  0
147  PROSPERIDADE   2    1         9.32    110  0  0
147  PROSPERIDADE   3    1         9.34    110  0  0
149  SAO SEPE       1    1         8.00    372  0  0
151  POTIGUAR       1    0         0.00      3  0  0
151  POTIGUAR       2    0         0.00      3  0  0
151  POTIGUAR       3    0         0.00      3  0  0
151  POTIGUAR       4    0         0.00      3  0  0
152  TERMOCABO      1    0         0.00    101  0  0
152  TERMOCABO      2    1        33.00    101  0  0
152  TERMOCABO      3    0         0.00    192  0  0
153  DAIA           1    0         0.00  16436  0  0
153  DAIA           2    0         0.00  16436  0  0
153  DAIA           3    0         0.00  16436  0  0
155  GOIANIA II     1    0         0.00  16436  0  0
155  GOIANIA II     2    0         0.00  16436  0  0
156  CANDIOTA 3     1    1       310.00    133  1  0
159  TERMOMANAUS    1    1         3.12    104  0  0
159  TERMOMANAUS    2    1        13.92    104  0  0
159  TERMOMANAUS    3    1        12.48    104  0  0
159  TERMOMANAUS    4    1        13.92    104  0  0
159  TERMOMANAUS    5    1        12.48    104  0  0
159  TERMOMANAUS    6    1        13.92    104  0  0
159  TERMOMANAUS    7    1         4.80    104  0  0
159  TERMOMANAUS    8    1        12.48    104  0  0
159  TERMOMANAUS    9    1        13.92    104  0  0
159  TERMOMANAUS   10    1        12.48    104  0  0
159  TERMOMANAUS   11    1        13.92    104  0  0
159  TERMOMANAUS   12    1        12.48    104  0  0
160  PAU FERRO I    1    0         0.00    448  0  0
160  PAU FERRO I    2    0         0.00    448  0  0
160  PAU FERRO I    3    0         0.00    448  0  0
160  PAU FERRO I    4    0         0.00    448  0  0
160  PAU FERRO I    5    0         0.00    448  0  0
160  PAU FERRO I    6    0         0.00    448  0  0
160  PAU FERRO I    7    0         0.00    448  0  0
161  POTIGUAR III   1    0         0.00      3  0  0
161  POTIGUAR III   2    0         0.00      3  0  0
161  POTIGUAR III   3    0         0.00     51  0  0
161  POTIGUAR III   4    0         0.00     51  0  0
161  POTIGUAR III   5    0         0.00      3  0  0
161  POTIGUAR III   6    0         0.00      3  0  0
163  P. PECEM II    1    1       365.00   1824  0  0
164  MURICY         1    0         0.00    297  0  0
164  MURICY         2    0         0.00  16104  0  0
164  MURICY         3    0         0.00    442  1  0
164  MURICY         4    0         0.00    514  1  0
164  MURICY         5    0         0.00    329  0  0
164  MURICY         6    1       108.00    105  0  0
164  MURICY         7    0         0.00  13868  0  0
164  MURICY         8    0         0.00  16104  0  0
166  CAMACARI PI    1    0         0.00    345  0  0
166  CAMACARI PI    2    0         0.00    127  0  0
166  CAMACARI PI    3    0         0.00    288  1  0
166  CAMACARI PI    4    1       125.00    106  0  0
167  P. PECEM I     1    1       360.14   1656  0  0
167  P. PECEM I     2    1       359.86    935  0  0
169  CISFRAMA       1    1         3.00   3504  0  0
170  SUAPE II       1    0         0.00    592  1  0
170  SUAPE II       2    0         0.00   3049  1  0
170  SUAPE II       3    0         0.00   1487  0  0
170  SUAPE II       4    0         0.00    607  0  0
170  SUAPE II       5    0         0.00    368  0  0
170  SUAPE II       6    0         0.00    326  0  0
170  SUAPE II       7    0         0.00   4920  1  0
170  SUAPE II       8    0         0.00   4920  1  0
170  SUAPE II       9    0         0.00    911  1  0
170  SUAPE II      10    0         0.00    888  1  0
170  SUAPE II      11    0         0.00   4871  1  0
170  SUAPE II      12    0         0.00    425  0  0
170  SUAPE II      13    0         0.00     16  0  0
170  SUAPE II      14    0         0.00     40  0  0
170  SUAPE II      15    1      336.405     16  0  0
170  SUAPE II      16    0         0.00    201  0  0
170  SUAPE II      17    0         0.00  16436  0  0
176  PORTO ITAQUI   1    1       360.00     60  0  0
182  PALMEIRAS GO   1    0         0.00   6030  1  0
182  PALMEIRAS GO   2    0         0.00   6078  0  0
194  T.NORTE 2      1    0         0.00  16104  0  0
194  T.NORTE 2      2    0         0.00  16104  0  0
194  T.NORTE 2      3    0         0.00   6510  1  0
194  T.NORTE 2      4    0         0.00   6510  0  0
201  APARECIDA      1    1        43.00    987  0  0
201  APARECIDA      2    1        43.00    391  1  0
201  APARECIDA      3    1        35.00    103  0  0
201  APARECIDA      4    1        25.00    114  0  0
203  C. ROCHA       1    0         0.00    231  1  0
203  C. ROCHA       2    1        17.08    192  0  0
203  C. ROCHA       3    1        17.08    192  0  0
203  C. ROCHA       4    1        17.08    192  0  0
203  C. ROCHA       5    1        17.08    127  0  0
204  JARAQUI        6    1        36.08    943  0  0
204  JARAQUI        7    1        26.92    943  0  0
205  MANAUARA       1    1        16.70   1518  0  0
205  MANAUARA       2    1        16.70    840  0  0
205  MANAUARA       3    1        16.70   1518  0  0
205  MANAUARA       4    1        14.90   1518  0  0
207  PONTA NEGRA    1    1        16.00  16042  0  0
207  PONTA NEGRA    2    1        16.00  16042  0  0
207  PONTA NEGRA    3    1        16.00  16042  0  0
207  PONTA NEGRA    4    1        16.00  16042  0  0
209  TAMBAQUI       5    0         0.00   1102  0  0
209  TAMBAQUI       6    1        38.00   1109  0  0
209  TAMBAQUI       7    1        25.00   1109  0  0
211  BAIXADA FLU    1    0         0.00   1844  1  0
211  BAIXADA FLU    2    0         0.00   7128  0  0
211  BAIXADA FLU    3    1       530.00   1844  1  0
212  MARANHAO III   1    1       518.80    489  0  0
221  SYKUE I        1    0         0.00   5662  1  0
224  P. SERGIPE I   1    0         0.00  10368  0  0
224  P. SERGIPE I   2    0         0.00  10599  0  0
224  P. SERGIPE I   3    0         0.00  12072  0  0
224  P. SERGIPE I   4    0         0.00  10622  1  0
224  P. SERGIPE I   5    0         0.00  12072  0  0
224  P. SERGIPE I   6    0         0.00  10848  1  0
224  P. SERGIPE I   7    0         0.00  10812  0  0
229  ONCA PINTADA   1    1        50.00    600  0  0
230  PREDILECTA     1    1         5.00    216  0  0
334  W ARJONA       1    1        33.00    133  0  0
334  W ARJONA       2    0         0.00     96  0  0
334  W ARJONA       3    0         0.00    648  0  0
334  W ARJONA       4    1        25.00    144  0  0
334  W ARJONA       5    1        30.00     24  0  0
383  ATLANTICO      1    0         0.00   9791  0  0
383  ATLANTICO      2    0         0.00   9864  0  0
383  ATLANTICO      3    0         0.00    192  0  0
383  ATLANTICO      4    0         0.00   1513  1  0
383  ATLANTICO      5    0         0.00    168  0  0
383  ATLANTICO      6    0         0.00   8184  1  0
383  ATLANTICO      7    1       405.00    168  0  0
FIM
&
&
& LIMITES E CONDICOES OPERACIONAIS DAS UNIDADES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
&
OPER                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
&us    nome      un di hi m df hf m Gmin     Gmax       Custo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
&XX XXXXXXXXXXXX XX XX XX X XX XX X XXXXXXXXXXxxxxxxxxxxXXXXXXXXXX                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
  1 ANGRA 1       1  1  0 0 F                                31.17
 13 ANGRA 2       1  1  0 0 F                                20.12
211 BAIXADA FL    1  1  0 0 F                               224.60
211 BAIXADA FL    2  1  0 0 F                               224.60
211 BAIXADA FL    3  1  0 0 F                               224.60
 97 CUBATAO       1  1  0 0 F                               353.47
 97 CUBATAO       2  1  0 0 F                               353.47
 97 CUBATAO       3  1  0 0 F                               353.47
 12 CUIABA CC     1  1  0 0 F                               701.88
 12 CUIABA CC     2  1  0 0 F                               701.88
 12 CUIABA CC     3  1  0 0 F                               701.88
153 DAIA          1  1  0 0 F                              1019.93
153 DAIA          2  1  0 0 F                              1019.93
153 DAIA          3  1  0 0 F                              1019.93
155 GOIANIA 2     1  1  0 0 F                              1066.64
155 GOIANIA 2     2  1  0 0 F                              1066.64
 63 IBIRITE       1  1  0 0 F                               650.77
 54 JUIZ DE FO    1  1  0 0 F                               283.74
 54 JUIZ DE FO    2  1  0 0 F                               283.74
 15 LUIZORMELO    1  1  0 0 F                               348.84
 15 LUIZORMELO    2  1  0 0 F                               348.84
 15 LUIZORMELO    3  1  0 0 F                               348.84
 15 LUIZORMELO    4  1  0 0 F                               348.84
110 NPIRATINGA    1  1  0 0 F                               548.04
110 NPIRATINGA    2  1  0 0 F                               548.04
110 NPIRATINGA    3  1  0 0 F                               548.04
110 NPIRATINGA    4  1  0 0 F                               548.04
110 NPIRATINGA    5  1  0 0 F                               548.04
110 NPIRATINGA    6  1  0 0 F                               548.04
110 NPIRATINGA    7  1  0 0 F                               548.04
110 NPIRATINGA    8  1  0 0 F                               548.04
110 NPIRATINGA    9  1  0 0 F                               548.04
110 NPIRATINGA   10  1  0 0 F                               548.04
110 NPIRATINGA   11  1  0 0 F                               548.04
110 NPIRATINGA   12  1  0 0 F                               548.04
110 NPIRATINGA   13  1  0 0 F                               548.04
110 NPIRATINGA   14  1  0 0 F                               548.04
110 NPIRATINGA   15  1  0 0 F                               548.04
229 O.PINTADA     1  1  0 0 F                               112.47
182 PALMEIR_GO    1  1  0 0 F                               763.38
182 PALMEIR_GO    2  1  0 0 F                               763.38
 50 PIRAT.12 O    1  1  0 0 F                               470.34
 50 PIRAT.12 O    2  1  0 0 F                               470.34
230 PREDILECTA    1  1  0 0 F                               158.95
  9 CAMPOS        1  1  0 0 F                               978.10
  9 CAMPOS        2  1  0 0 F                               978.10
 62 SEROPEDICA    1  1  0 0 F                               410.96
 62 SEROPEDICA    2  1  0 0 F                               410.96
 62 SEROPEDICA    3  1  0 0 F                               410.96
 62 SEROPEDICA    4  1  0 0 F                               410.96
 62 SEROPEDICA    5  1  0 0 F                               410.96
 62 SEROPEDICA    6  1  0 0 F                               410.96
 62 SEROPEDICA    7  1  0 0 F                               410.96
 62 SEROPEDICA    8  1  0 0 F                               410.96
  4 ST.CRUZ 34    3  1  0 0 F                               310.41
  4 ST.CRUZ 34    4  1  0 0 F                               310.41
 86 SANTA CRUZ   11  1  0 0 F                               227.91
 86 SANTA CRUZ   21  1  0 0 F                               227.91
146 UTE STA VI    1  1  0 0 F                               121.49
194 TNORTE 2      1  1  0 0 F                               910.86
194 TNORTE 2      2  1  0 0 F                               910.86
194 TNORTE 2      3  1  0 0 F                               910.86
194 TNORTE 2      4  1  0 0 F                               910.86
 90 T.MACAE       1  1  0 0 F                               739.19
 90 T.MACAE       2  1  0 0 F                               739.19
 90 T.MACAE       3  1  0 0 F                               739.19
 90 T.MACAE       4  1  0 0 F                               739.19
 90 T.MACAE       5  1  0 0 F                               739.19
 90 T.MACAE       6  1  0 0 F                               739.19
 90 T.MACAE       7  1  0 0 F                               739.19
 90 T.MACAE       8  1  0 0 F                               739.19
 90 T.MACAE       9  1  0 0 F                               739.19
 90 T.MACAE      10  1  0 0 F                               739.19
 90 T.MACAE      11  1  0 0 F                               739.19
 90 T.MACAE      12  1  0 0 F                               739.19
 90 T.MACAE      13  1  0 0 F                               739.19
 90 T.MACAE      14  1  0 0 F                               739.19
 90 T.MACAE      15  1  0 0 F                               739.19
 90 T.MACAE      16  1  0 0 F                               739.19
 90 T.MACAE      17  1  0 0 F                               739.19
 90 T.MACAE      18  1  0 0 F                               739.19
 90 T.MACAE      19  1  0 0 F                               739.19
 90 T.MACAE      20  1  0 0 F                               739.19
 47 TERMORIO      1  1  0 0 F                               330.06
 47 TERMORIO      2  1  0 0 F                               330.06
 47 TERMORIO      3  1  0 0 F                               330.06
 47 TERMORIO      4  1  0 0 F                               330.06
 47 TERMORIO      5  1  0 0 F                               330.06
 47 TERMORIO      6  1  0 0 F                               330.06
 47 TERMORIO      7  1  0 0 F                               330.06
 47 TERMORIO      8  1  0 0 F                               330.06
 47 TERMORIO      9  1  0 0 F                               330.06
 47 TERMORIO     10  1  0 0 F                               330.06
 47 TERMORIO     11  1  0 0 F                               330.06
 47 TERMORIO     12  1  0 0 F                               330.06
 47 TERMORIO     13  1  0 0 F                               330.06
 47 TERMORIO     14  1  0 0 F                               330.06
 47 TERMORIO     15  1  0 0 F                               330.06
 47 TERMORIO     16  1  0 0 F                               330.06
 47 TERMORIO     17  1  0 0 F                               330.06
 47 TERMORIO     18  1  0 0 F                               330.06
 47 TERMORIO     19  1  0 0 F                               330.06
 47 TERMORIO     20  1  0 0 F                               330.06
 47 TERMORIO     21  1  0 0 F                               330.06
 47 TERMORIO     22  1  0 0 F                               330.06
 47 TERMORIO     23  1  0 0 F                               330.06
 47 TERMORIO     24  1  0 0 F                               330.06
 47 TERMORIO     25  1  0 0 F                               330.06
 47 TERMORIO     26  1  0 0 F                               330.06
 47 TERMORIO     27  1  0 0 F                               330.06
 47 TERMORIO     28  1  0 0 F                               330.06
 47 TERMORIO     29  1  0 0 F                               330.06
 47 TERMORIO     30  1  0 0 F                               330.06
 47 TERMORIO     31  1  0 0 F                               330.06
 68 T.LAGOAS      1  1  0 0 F                               262.77
 68 T.LAGOAS      2  1  0 0 F                               262.77
 68 T.LAGOAS      3  1  0 0 F                               262.77
 68 T.LAGOAS      4  1  0 0 F                               262.77
 68 T.LAGOAS      5  1  0 0 F                               262.77
 68 T.LAGOAS      6  1  0 0 F                               262.77
 68 T.LAGOAS      7  1  0 0 F                               262.77
 68 T.LAGOAS      8  1  0 0 F                               262.77
 68 T.LAGOAS      9  1  0 0 F                               262.77
 68 T.LAGOAS     10  1  0 0 F                               262.77
 68 T.LAGOAS     11  1  0 0 F                               262.77
 68 T.LAGOAS     12  1  0 0 F                               262.77
 68 T.LAGOAS     13  1  0 0 F                               262.77
 68 T.LAGOAS     14  1  0 0 F                               262.77
 68 T.LAGOAS     15  1  0 0 F                               262.77
 49 VIANA         1  1  0 0 F                               920.04
 49 VIANA         2  1  0 0 F                               920.04
 49 VIANA         3  1  0 0 F                               920.04
 49 VIANA         4  1  0 0 F                               920.04
108 XAVANTES      1  1  0 0 F                              1465.79
108 XAVANTES      2  1  0 0 F                              1465.79
 48 ARAUCARIA     1  1  0 0 F                              1083.21
 48 ARAUCARIA     2  1  0 0 F                              1083.21
 48 ARAUCARIA     3  1  0 0 F                              1083.21
156 CANDIOTA_3    1  1  0 0 F                                91.59
